date,value
2023-01-01,100.5
2023-01-02,102.3
2023-01-03,98.7
2023-01-04,105.2
2023-01-05,103.8
2023-01-06,107.1
2023-01-07,109.4
2023-01-08,106.2
2023-01-09,108.5
2023-01-10,111.3
2023-01-11,110.7
2023-01-12,113.2
2023-01-13,115.8
2023-01-14,112.4
2023-01-15,114.9
2023-01-16,117.6
2023-01-17,116.2
2023-01-18,119.5
2023-01-19,121.3
2023-01-20,118.9
2023-01-21,120.7
2023-01-22,123.4
2023-01-23,122.1
2023-01-24,125.6
2023-01-25,127.8
2023-01-26,124.9
2023-01-27,126.5
2023-01-28,129.2
2023-01-29,128.4
2023-01-30,131.7
2023-01-31,130.2
2023-02-01,133.5
2023-02-02,135.8
2023-02-03,132.9
2023-02-04,134.6
2023-02-05,137.3
2023-02-06,136.1
2023-02-07,139.4
2023-02-08,141.2
2023-02-09,138.5
2023-02-10,140.8
2023-02-11,143.5
2023-02-12,142.3
2023-02-13,145.7
2023-02-14,147.9
2023-02-15,145.1
2023-02-16,146.8
2023-02-17,149.6
2023-02-18,148.2
2023-02-19,151.5
2023-02-20,153.8
2023-02-21,150.9
2023-02-22,152.7
2023-02-23,155.4
2023-02-24,154.1
2023-02-25,157.6
2023-02-26,159.3
2023-02-27,156.8
2023-02-28,158.5
2023-03-01,161.2
2023-03-02,160.4
2023-03-03,163.7
2023-03-04,165.9
2023-03-05,163.1
2023-03-06,164.8
2023-03-07,167.5
2023-03-08,166.3
2023-03-09,169.6
2023-03-10,171.8
2023-03-11,169.2
2023-03-12,170.9
2023-03-13,173.7
2023-03-14,172.5
2023-03-15,175.8
2023-03-16,178.1
2023-03-17,175.4
2023-03-18,177.2
2023-03-19,179.9
2023-03-20,178.6
2023-03-21,181.9
2023-03-22,184.2
2023-03-23,181.5
2023-03-24,183.3
2023-03-25,186.0
2023-03-26,184.8
2023-03-27,188.1
2023-03-28,190.4
2023-03-29,187.7
2023-03-30,189.5
2023-03-31,192.3
2023-04-01,191.1
2023-04-02,194.4
2023-04-03,196.7
2023-04-04,194.0
2023-04-05,195.8
2023-04-06,198.5
2023-04-07,197.3
